ADM2_EN_x,ADM2_EN_y
Shepetivskyi,Shepetivskyi
Zvenyhorodskyi,Bilotserkivskyi
Zvenyhorodskyi,Obukhivskyi
Zvenyhorodskyi,Holovanivskyi
Zvenyhorodskyi,Novoukrainskyi
Zvenyhorodskyi,Zvenyhorodskyi
Zvenyhorodskyi,Umanskyi
Zvenyhorodskyi,Cherkaskyi
Zolotoniskyi,Boryspilskyi
Zolotoniskyi,Kremenchutskyi
Zolotoniskyi,Lubenskyi
Zolotoniskyi,Zolotoniskyi
Zolotoniskyi,Cherkaskyi
Umanskyi,Vinnytskyi
Umanskyi,Haisynskyi
Umanskyi,Bilotserkivskyi
Umanskyi,Holovanivskyi
Umanskyi,Zvenyhorodskyi
Umanskyi,Umanskyi
Cherkaskyi,Boryspilskyi
Cherkaskyi,Obukhivskyi
Cherkaskyi,Kropyvnytskyi
Cherkaskyi,Novoukrainskyi
Cherkaskyi,Oleksandriiskyi
Cherkaskyi,Kremenchutskyi
Cherkaskyi,Zvenyhorodskyi
Cherkaskyi,Zolotoniskyi
Cherkaskyi,Cherkaskyi
Vyzhnytskyi,Verkhovynskyi
Vyzhnytskyi,Kolomyiskyi
Vyzhnytskyi,Kosivskyi
Vyzhnytskyi,Vyzhnytskyi
Vyzhnytskyi,Chernivetskyi
Dnistrovskyi,Mohyliv-Podilskyi
Dnistrovskyi,Chortkivskyi
Dnistrovskyi,Kamianets-Podilskyi
Dnistrovskyi,Dnistrovskyi
Dnistrovskyi,Chernivetskyi
Chernivetskyi,Kolomyiskyi
Chernivetskyi,Chortkivskyi
Chernivetskyi,Vyzhnytskyi
Chernivetskyi,Dnistrovskyi
Chernivetskyi,Chernivetskyi
Koriukivskyi,Koriukivskyi
Koriukivskyi,Nizhynskyi
Koriukivskyi,Novhorod-Siverskyi
Koriukivskyi,Chernihivskyi
Nizhynskyi,Brovarskyi
Nizhynskyi,Konotopskyi
Nizhynskyi,Koriukivskyi
Nizhynskyi,Nizhynskyi
Nizhynskyi,Novhorod-Siverskyi
Nizhynskyi,Prylutskyi
Nizhynskyi,Chernihivskyi
Novhorod-Siverskyi,Konotopskyi
Novhorod-Siverskyi,Shostkynskyi
Novhorod-Siverskyi,Koriukivskyi
Novhorod-Siverskyi,Nizhynskyi
Novhorod-Siverskyi,Novhorod-Siverskyi
Prylutskyi,Boryspilskyi
Prylutskyi,Brovarskyi
Prylutskyi,Lubenskyi
Prylutskyi,Myrhorodskyi
Prylutskyi,Konotopskyi
Prylutskyi,Romenskyi
Prylutskyi,Nizhynskyi
Prylutskyi,Prylutskyi
Chernihivskyi,Chornobyl Exclusion Zone
Chernihivskyi,Brovarskyi
Chernihivskyi,Vyshhorodskyi
Chernihivskyi,Koriukivskyi
Chernihivskyi,Nizhynskyi
Chernihivskyi,Chernihivskyi
Kyiv,Boryspilskyi
Kyiv,Brovarskyi
Kyiv,Buchanskyi
Kyiv,Vyshhorodskyi
Kyiv,Obukhivskyi
Kyiv,Fastivskyi
Kyiv,Kyiv
Sevastopol,Bakhchysaraiskyi
Sevastopol,Sevastopol
